config,split_id,split_seed,group,task_local_idx,episode,success,return,steps,first_success_step,run_name,train_seed,total_timesteps,model_path
base_push,0,67,train,27,0,1.0,153.5917895754758,38,38,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,28,0,0.0,65.81170947979959,500,nan,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,29,0,1.0,171.63615148124873,43,43,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,30,0,0.0,2578.8673912620607,500,nan,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,31,0,1.0,163.71366906553965,39,39,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,32,0,0.0,137.8824412840664,500,nan,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,33,0,1.0,149.4211547147908,38,38,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,34,0,1.0,62.10841736213635,240,240,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,35,0,1.0,176.85334182719208,43,43,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,36,0,1.0,177.32498540011983,42,42,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,37,0,1.0,150.96128329742197,39,39,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,38,0,1.0,166.0139636910314,43,43,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,39,0,1.0,144.94209705077355,40,40,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,40,0,1.0,152.65780751781324,38,38,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,41,0,1.0,125.49450376804869,36,36,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,42,0,1.0,174.62622238935074,43,43,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,43,0,0.0,11.676314323017397,500,nan,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,train,44,0,1.0,174.37112469479382,42,42,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,test,0,0,1.0,168.90576785267282,42,42,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,test,0,1,1.0,168.90576785267282,42,42,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
base_push,0,67,test,0,2,1.0,168.90576785267282,42,42,ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000,11,6000000,push_v3_ppo_split_runs\models\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000\ppo_push-v3_base_push_split0_splitseed67_trainseed11_6000000_final.zip
